titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,source,date_publication,caracteristiques,url
نيمرو للبيـــع فالصحراوي,Land Plot,Vente,6000000,400.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو للبيـــع فالصحراوي 6,000,000 MRU Land Plot 13 hours ago • Tevragh Zeina سيدي محمد 2",voursa,13 hours ago,"landmark: مديرية التوجيه الإسلامية, land_title: Yes, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-للبيـــع-فالصحراوي--7ca1
نص نيمرو فالمطار بلوك 59,Land Plot,Vente,1050000,200.00,,,,Dar Naim,Nouakchott Nord,"نص نيمرو فالمطار بلوك 59 1,050,000 MRU Land Plot 13 hours ago • Dar Naim سيدي محمد 1",voursa,13 hours ago,"landmark: إيثار, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/نص-نيمرو-فالمطار-بلوك-59--4444
نيمرو من بوش 9 أفكرن قريب من كدروه,Land Plot,Vente,4800000,533.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو من بوش 9 أفكرن قريب من كدروه 4,800,000 MRU Land Plot 13 hours ago • Tevragh Zeina سيدي محمد 1",voursa,13 hours ago,"landmark: بوش 9, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-بوش-9-افكرن-قريب-من-كدروه--498a
نص نيمرو فكرن من شرم الشيخ في البوادي نظيف,Land Plot,Vente,1800000,150.00,,,,Teyarett,Nouakchott Nord,"نص نيمرو فكرن من شرم الشيخ في البوادي نظيف 1,800,000 MRU Land Plot 13 hours ago • Teyarett محمدفال 1",voursa,13 hours ago,"landmark: البوادي, land_title: No",https://voursa.com/EN/categories/real_estate/ads/نص-نيمرو-فكرن-من-شرم-الشيخ-في-البوادي-نظيف-6c2f
يوجد عندن فرصة حقيقية نيمرو مساحتو 300m2 على كدروه عين طلح و البوادي فاز 2 برمة و كتانص,Land Plot,Vente,2900000,300.00,,,,Teyarett,Nouakchott Nord,"يوجد عندن فرصة حقيقية نيمرو مساحتو 300m2 على كدروه عين طلح و البوادي فاز 2 برمة و كتانص 2,900,000 MRU Land Plot 13 hours ago • Teyarett محمد سالم 2",voursa,13 hours ago,"landmark: كدروه عين طلح و البوادي فاز 2, land_title: Yes, street_size: 25.00",https://voursa.com/EN/categories/real_estate/ads/يوجد-عندن-فرصة-حقيقية-نيمرو-مساحتو-300m2-على-كدروه-عين-طلح-و-البوادي-فاز-2-برمة-و-كتانص-6935
فرصة سوق للبيع ف مديل F سانتر متير موقع ممتاز دخل معتبر,Commercial and Industrial Real Estate,Vente,23000000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"فرصة سوق للبيع ف مديل F سانتر متير موقع ممتاز دخل معتبر 23,000,000 MRU Commercial and Industrial Real Estate 13 hours ago • Tevragh Zeina mohamed 1",voursa,13 hours ago,"landmark: وقفة سانتر متير, land_title: No",https://voursa.com/EN/categories/real_estate/ads/فرصة-سوق-للبيع-ف-مديل-f-سانتر-متير-موقع-ممتاز-دخل-معتبر-570c
نيمرو فعين الطلح,Other,Vente,630000,140.00,6.0,1.0,2.0,Teyarett,Nouakchott Nord,"نيمرو فعين الطلح 630,000 MRU Residential Property 15 hours ago • Teyarett SmartZone MR 6",voursa,15 hours ago,"landmark: مجمع عين الطلح التجاري, land_title: No, balconies: 1",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فعين-الطلح-6b5d
نيمرو من بوش 9 ف للمربع الذهبي بين نيمروين امع كدروه للبيع,Land Plot,Vente,4200000,534.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو من بوش 9 ف للمربع الذهبي بين نيمروين امع كدروه للبيع 4,200,000 MRU Land Plot 16 hours ago • Tevragh Zeina محمد 1",voursa,16 hours ago,"landmark: بوش 9, land_title: No, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-بوش-9-ف-للمربع-الذهبي-بين-نيمروين-امع-كدروه-للبيع--34bd
نيمرو فكرن من بوش 9 للبيع,Land Plot,Vente,4900000,534.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو فكرن من بوش 9 للبيع 4,900,000 MRU Land Plot 16 hours ago • Tevragh Zeina محمد 1",voursa,16 hours ago,"landmark: بوش 9, land_title: No, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-من-بوش-9-للبيع--b53d
سوق للبيع,Commercial and Industrial Real Estate,Vente,23000000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"سوق للبيع 23,000,000 MRU Commercial and Industrial Real Estate 16 hours ago • Tevragh Zeina Agence LEWEDLI 1",voursa,16 hours ago,"landmark: تفرغ زينه, land_title: No",https://voursa.com/EN/categories/real_estate/ads/سوق-للبيع-7b67
ارض,Land Plot,Vente,100000,150.00,,,,Dar Naim,Nouakchott Nord,"ارض 100,000 MRU Land Plot 17 hours ago • Dar Naim Isselmou 1",voursa,17 hours ago,"landmark: مستشفي انكدو  مطار القديم, land_title: No",https://voursa.com/EN/categories/real_estate/ads/ارض-1052
قطعة ارضية,Land Plot,Vente,4500000,300.00,,,,Teyarett,Nouakchott Nord,"قطعة ارضية 4,500,000 MRU Land Plot 17 hours ago • Teyarett ام كلثوم احمد طالب 1",voursa,17 hours ago,"landmark: بوادي, land_title: Yes, street_size: 25.00",https://voursa.com/EN/categories/real_estate/ads/قطعة-ارضية-acdb
نيمرو فاتح ف ابرك من مدال m اسويت للبيع,Land Plot,Vente,3000000,700.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو فاتح ف ابرك من مدال m اسويت للبيع 3,000,000 MRU Land Plot 17 hours ago • Tevragh Zeina محمد 1",voursa,17 hours ago,"landmark: مدال m اسويت, land_title: No, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فاتح-ف-ابرك-من-مدال-m-اسويت-للبيع--ad7e
قطعتين للبيع,Land Plot,Vente,24000000,1.00,,,,Dar Naim,Nouakchott Nord,"قطعتين للبيع 24,000,000 MRU Land Plot 17 hours ago • Dar Naim Agence LEWEDLI 1",voursa,17 hours ago,"landmark: المطار القديم, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/قطعتين-للبيع-edd3
شقة,Commercial and Industrial Real Estate,Vente,15000,150.00,,,,Tevragh Zeina,Nouakchott Ouest,"شقة 15,000 MRU Commercial and Industrial Real Estate 17 hours ago • Tevragh Zeina عبد 1",voursa,17 hours ago,"landmark: أقرب معلم أتاك الخير 2, land_title: No",https://voursa.com/EN/categories/real_estate/ads/شقة-fc2a
شقتين للبيع,Other,Vente,1800000,150.00,0.0,0.0,0.0,Teyarett,Nouakchott Nord,"شقتين للبيع 1,800,000 MRU Residential Property 1 day ago • Teyarett Agence LEWEDLI 1",voursa,1 day ago,"landmark: عين الطلح, land_title: Yes, balconies: 0",https://voursa.com/EN/categories/real_estate/ads/شقتين-للبيع-2892
قطعة أرض,Land Plot,Vente,3100000,400.00,,,,Dar Naim,Nouakchott Nord,"قطعة أرض 3,100,000 MRU Land Plot 1 day ago • Dar Naim الشيخ 1",voursa,1 day ago,"landmark: قرب إدارة معادن, land_title: Yes, street_size: 12.00",https://voursa.com/EN/categories/real_estate/ads/قطعة-ارض-32d2
دار فملح سكتير 1,Apartment,Vente,550000,150.00,3.0,1.0,2.0,Arafat,Nouakchott Sud,"دار فملح سكتير 1 550,000 MRU Residential Property 1 day ago • Arafat محمد عبد الله ولد سيكه 1",voursa,1 day ago,"landmark: ملح سكتير 1, land_title: No, balconies: 1, street_size: 6.00",https://voursa.com/EN/categories/real_estate/ads/دار-فملح-سكتير-1-0e87
ديبلكس للبيع,Duplex,Vente,5800000,200.00,0.0,0.0,0.0,Tevragh Zeina,Nouakchott Ouest,"ديبلكس للبيع 5,800,000 MRU Residential Property 1 day ago • Tevragh Zeina Agence LEWEDLI 1",voursa,1 day ago,"landmark: كارفور جامبور, land_title: Yes, balconies: 0",https://voursa.com/EN/categories/real_estate/ads/ديبلكس-للبيع--0491
دار اعل كدروه فدار النعيم,Other,Vente,700000,180.00,4.0,1.0,1.0,Teyarett,Nouakchott Nord,"دار اعل كدروه فدار النعيم 700,000 MRU Residential Property 1 day ago • Teyarett الخدمات العامه 1",voursa,1 day ago,"landmark: استاسيوه المستقبل, land_title: Yes, balconies: 1, street_size: 30.00",https://voursa.com/EN/categories/real_estate/ads/دار-اعل-كدروه-فدار-النعيم--191d
نيمرو فيه شانتي ف اغنودرت بالقرب من دار غزواني للبيع,Land Plot,Vente,1250000,300.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو فيه شانتي ف اغنودرت بالقرب من دار غزواني للبيع 1,250,000 MRU Land Plot 1 day ago • Tevragh Zeina محمد 1",voursa,1 day ago,"landmark: اغنودرت, land_title: No, street_size: 10.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فيه-شانتي-ف-اغنودرت-بالقرب-من-دار-غزواني-للبيع--831b
ديبلكس للبيع,Duplex,Vente,4000000,300.00,0.0,0.0,0.0,Tevragh Zeina,Nouakchott Ouest,"ديبلكس للبيع 4,000,000 MRU Residential Property 1 day ago • Tevragh Zeina Agence LEWEDLI 1",voursa,1 day ago,"landmark: اغنودرت, land_title: Yes, balconies: 0",https://voursa.com/EN/categories/real_estate/ads/ديبلكس-للبيع--fe21
نيمروات إعلى كدروه الرابط بين الجامعة وطب القلب,Land Plot,Vente,15000000,1400.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمروات إعلى كدروه الرابط بين الجامعة وطب القلب 15,000,000 MRU Land Plot 1 day ago • Tevragh Zeina سيدي محمد 1",voursa,1 day ago,"landmark: طب القلب, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/نيمروات-اعلى-كدروه-الرابط-بين-الجامعة-وطب-القلب--1e0a
دار فتنسويلم احذ امسيد اهل احمد يوره,Apartment,Vente,900000,150.00,5.0,1.0,2.0,Dar Naim,Nouakchott Nord,"دار فتنسويلم احذ امسيد اهل احمد يوره 900,000 MRU Residential Property 1 day ago • Dar Naim محمد عبد الله ولد سيكه 1",voursa,1 day ago,"landmark: امسيد اهل احمد يوره, land_title: No, balconies: 1, street_size: 8.00",https://voursa.com/EN/categories/real_estate/ads/دار-فتنسويلم-احذ-امسيد-اهل-احمد-يوره-3aa8
ابرتمهات فهاش 8,Apartment,Vente,6500000,216.00,4.0,1.0,1.0,Teyarett,Nouakchott Nord,"ابرتمهات فهاش 8 6,500,000 MRU Residential Property 1 day ago • Teyarett الخدمات العامه 1",voursa,1 day ago,"landmark: هاش 8, land_title: Yes, balconies: 1, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/ابرتمهات-فهاش-8-6df5
سمعة للبيع بالقرب من كوليج سوق مكه,Commercial and Industrial Real Estate,Vente,1600000,150.00,,,,Arafat,Nouakchott Sud,"سمعة للبيع بالقرب من كوليج سوق مكه 1,600,000 MRU Commercial and Industrial Real Estate 1 day ago • Arafat بورصة محمدأحمد العقارية 1",voursa,1 day ago,"landmark: سوق مكه, land_title: No",https://voursa.com/EN/categories/real_estate/ads/سمعة-للبيع-بالقرب-من-كوليج-سوق-مكه--5f2c
دار اعل كدروه ال بين جسر الحي الساكن و كرفور ول ابادو,Apartment,Vente,650000,150.00,3.0,1.0,2.0,Dar Naim,Nouakchott Nord,"دار اعل كدروه ال بين جسر الحي الساكن و كرفور ول ابادو 650,000 MRU Residential Property 1 day ago • Dar Naim محمد عبد الله ولد سيكه 5",voursa,1 day ago,"landmark: جسر الحي الساكن, land_title: No, balconies: 1, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/دار-اعل-كدروه-ال-بين-جسر-الحي-الساكن-و-كرفور-ول-ابادو-105a
منازل للبيع فلمطار القديم قرب مدينة المرح,Land Plot,Vente,7000000,400.00,,,,Dar Naim,Nouakchott Nord,"منازل للبيع فلمطار القديم قرب مدينة المرح 7,000,000 MRU Land Plot 1 day ago • Dar Naim سيدي محمد 4",voursa,1 day ago,"landmark: مدينة المرح, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/منازل-للبيع-فلمطار-القديم-قرب-مدينة-المرح--0005
نيمرو فكرن من سكتير 6 للبيع,Land Plot,Vente,7000000,700.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو فكرن من سكتير 6 للبيع 7,000,000 MRU Land Plot 1 day ago • Tevragh Zeina محمد 1",voursa,1 day ago,"landmark: سكتير 6, land_title: No, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-من-سكتير-6-للبيع--0aa4
نيمرو من المطار اعل لبست فكرن للبيع,Land Plot,Vente,25000000,1172.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو من المطار اعل لبست فكرن للبيع 25,000,000 MRU Land Plot 1 day ago • Tevragh Zeina محمد 1",voursa,1 day ago,"landmark: لبست, land_title: No, street_size: 60.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-المطار-اعل-لبست-فكرن-للبيع--3e94
دار ف صانتر ميتير للبيع,Villa,Vente,4600000,200.00,5.0,1.0,2.0,Tevragh Zeina,Nouakchott Ouest,"دار ف صانتر ميتير للبيع 4,600,000 MRU Residential Property 1 day ago • Tevragh Zeina محمد 1",voursa,1 day ago,"landmark: صانتر ميتير, land_title: Yes, balconies: 1, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/دار-ف-صانتر-ميتير-للبيع--a28f
نيمرو فيه ابرتماه من i4 للبيع,Land Plot,Vente,3300000,216.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو فيه ابرتماه من i4 للبيع 3,300,000 MRU Land Plot 1 day ago • Tevragh Zeina محمد 1",voursa,1 day ago,"landmark: I4, land_title: No, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فيه-ابرتماه-من-i4-للبيع--8501
دار احذ كدروه اتيو للبيع,Villa,Vente,16500000,240.00,1.0,1.0,1.0,Toujounine,Nouakchott Nord,"دار احذ كدروه اتيو للبيع 16,500,000 MRU Residential Property 1 day ago • Toujounine محمد 1",voursa,1 day ago,"landmark: كدروه اتيو, land_title: Yes, balconies: 1, street_size: 10.00",https://voursa.com/EN/categories/real_estate/ads/دار-احذ-كدروه-اتيو-للبيع--9443
فيلا ممتازة جديدة في الفوز البوادي نظيفة,Villa,Vente,4200000,200.00,4.0,2.0,2.0,Teyarett,Nouakchott Nord,"فيلا ممتازة جديدة في الفوز البوادي نظيفة 4,200,000 MRU Residential Property 1 day ago • Teyarett محمدفال 1",voursa,1 day ago,"landmark: البوادي, land_title: No, balconies: 1, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/فيلا-ممتازة-جديدة-في-الفوز-البوادي-نظيفة-c8e9
فرصة ارضية للبيع ف صحراوي قرب سكن سفير العمان,Villa,Vente,5500000,250.00,4.0,1.0,2.0,Tevragh Zeina,Nouakchott Ouest,"فرصة ارضية للبيع ف صحراوي قرب سكن سفير العمان 5,500,000 MRU Residential Property 1 day ago • Tevragh Zeina mohamed 1",voursa,1 day ago,"landmark: سكن سفير العمان, land_title: Yes, balconies: 1, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/فرصة-ارضية-للبيع-ف-صحراوي-قرب-سكن-سفير-العمان-وتساب--9e32
نيمرو اعلي كدروه واعلى ابرك فمدال j للبيع,Land Plot,Vente,12000000,500.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو اعلي كدروه واعلى ابرك فمدال j للبيع 12,000,000 MRU Land Plot 1 day ago • Tevragh Zeina محمد 1",voursa,1 day ago,"landmark: كدروه نواذيبو, land_title: No, street_size: 60.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-اعلي-كدروه-واعلى-ابرك-فمدال-j-للبيع--f0a3
شانتيه اللبيع أفي المطار القديم بلوك 5,Villa,Vente,3200000,200.00,3.0,1.0,2.0,Dar Naim,Nouakchott Nord,"شانتيه اللبيع أفي المطار القديم بلوك 5 3,200,000 MRU Residential Property 1 day ago • Dar Naim عبدالله 3",voursa,1 day ago,"landmark: شانتيه اللبيع أفي المطار القديم بلوك 5, land_title: No, balconies: 1",https://voursa.com/EN/categories/real_estate/ads/شانتيه-اللبيع-افي-المطار-القديم-بلوك-5-fc4f
ابرتمهات فصانتر متير,Apartment,Vente,4600000,200.00,8.0,1.0,2.0,Tevragh Zeina,Nouakchott Ouest,"ابرتمهات فصانتر متير 4,600,000 MRU Residential Property 1 day ago • Tevragh Zeina الخدمات العامه 1",voursa,1 day ago,"landmark: صانتر متير, land_title: Yes, balconies: 1, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/ابرتمهات-فصانتر-متير-1c5b
نيمرو فكرن من مدال m اسويت للبيع,Land Plot,Vente,3800000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو فكرن من مدال m اسويت للبيع 3,800,000 MRU Land Plot 2 days ago • Tevragh Zeina محمد 1",voursa,2 days ago,"landmark: مدال m اسويت, land_title: No, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-من-مدال-m-اسويت-للبيع--4798
نيمرو فكرن من بوش 9 للبيع,Land Plot,Vente,4600000,534.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو فكرن من بوش 9 للبيع 4,600,000 MRU Land Plot 2 days ago • Tevragh Zeina محمد 1",voursa,2 days ago,"landmark: بوش 9, land_title: No, street_size: 20.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-من-بوش-9-للبيع--2c2d
عندن ذاك ابرتماه اللبيع أفي منطقة صانتر ميتير,Commercial and Industrial Real Estate,Vente,4600000,200.00,,,,Tevragh Zeina,Nouakchott Ouest,"عندن ذاك ابرتماه اللبيع أفي منطقة صانتر ميتير 4,600,000 MRU Commercial and Industrial Real Estate 2 days ago • Tevragh Zeina عبدالله 3",voursa,2 days ago,"landmark: ذاك ابرتماه اللبيع أفي منطقة صانتر ميتين, land_title: No",https://voursa.com/EN/categories/real_estate/ads/عندن-ذاك-ابرتماه-اللبيع-افي-منطقة-صانتر-ميتير-cfe7
نيمرو فالمطار فزر مصحة إيثار,Land Plot,Vente,2200000,400.00,,,,Dar Naim,Nouakchott Nord,"نيمرو فالمطار فزر مصحة إيثار 2,200,000 MRU Land Plot 2 days ago • Dar Naim سيدي محمد 1",voursa,2 days ago,"landmark: إيثار, land_title: Yes, street_size: 12.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فالمطار-فزر-مصحة-ايثار--3b95
نيمرو من الأساتذة فزر الشوانتي,Land Plot,Vente,3750000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو من الأساتذة فزر الشوانتي 3,750,000 MRU Land Plot 2 days ago • Tevragh Zeina سيدي محمد 2",voursa,2 days ago,"landmark: المعهد, land_title: Yes, street_size: 25.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-الاساتذة-فزر-الشوانتي--e611
شانتيه فالمطار بلوك 5 قرب مدينة المرح,Land Plot,Vente,3200000,200.00,,,,Dar Naim,Nouakchott Nord,"شانتيه فالمطار بلوك 5 قرب مدينة المرح 3,200,000 MRU Land Plot 2 days ago • Dar Naim سيدي محمد 2",voursa,2 days ago,"landmark: مدينة المرح, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/-شانتيه-فالمطار-بلوك-5-قرب-مدينة-المرح--9f12
ديبلكس بريمير شوى قرب شهرزاد,Land Plot,Vente,5800000,216.00,,,,Teyarett,Nouakchott Nord,"ديبلكس بريمير شوى قرب شهرزاد 5,800,000 MRU Land Plot 2 days ago • Teyarett سيدي محمد 1",voursa,2 days ago,"landmark: شهرا زاد, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/ديبلكس-بريمير-شوى-قرب-شهرزاد--1fab
نيمرو فكرن ابرك فمدال m لاول للبيع,Land Plot,Vente,5000000,800.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو فكرن ابرك فمدال m لاول للبيع 5,000,000 MRU Land Plot 2 days ago • Tevragh Zeina محمد 1",voursa,2 days ago,"landmark: مدال m لاول, land_title: No, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-ابرك-فمدال-m-لاول-للبيع--eaf1
منزل فخم للبيـع قرب مشروع كمال,Land Plot,Vente,27000000,750.00,,,,Tevragh Zeina,Nouakchott Ouest,"منزل فخم للبيـع قرب مشروع كمال 27,000,000 MRU Land Plot 2 days ago • Tevragh Zeina سيدي محمد 10",voursa,2 days ago,"landmark: مشروع كمال, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/منزل-فخم-للبيـع-قرب-مشروع-كمال--42f4
نيمرو من سكتير 5 للبيع,Land Plot,Vente,6700000,875.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو من سكتير 5 للبيع 6,700,000 MRU Land Plot 2 days ago • Tevragh Zeina محمد 1",voursa,2 days ago,"landmark: سكتير 5, land_title: No, street_size: 15.00",https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-سكتير-5-للبيع--764a
200م² في تفرغ زينة h suit ماه بعيد من كدروه نواذيب,Land Plot,Vente,2000000,200.00,,,,Tevragh Zeina,Nouakchott Ouest,"200م² في تفرغ زينة h suit ماه بعيد من كدروه نواذيب 2,000,000 MRU Land Plot 2 days ago • Tevragh Zeina محمدفال 1",voursa,2 days ago,"landmark: طريق نواذيب, land_title: No",https://voursa.com/EN/categories/real_estate/ads/200م-في-تفرغ-زينة-h-suit-ماه-بعيد-من-كدروه-نواذيب-1ccf
نيمرو أفكرن من بلوكات فاتح اعل الجامعة,Land Plot,Vente,8000000,600.00,,,,Tevragh Zeina,Nouakchott Ouest,"نيمرو أفكرن من بلوكات فاتح اعل الجامعة 8,000,000 MRU Land Plot 2 days ago • Tevragh Zeina سيدي محمد 1",voursa,2 days ago,"landmark: جامعة انواكشوط العصرية, land_title: Yes",https://voursa.com/EN/categories/real_estate/ads/نيمرو-افكرن-من-بلوكات-فاتح-اعل-الجامعة--76f2
