raw_text,price_mru,property_type,time_ago,title_guess,location,source,url,lot_size,street_size,closest_landmark,land_title,detail_property_type,halls,balconies,bathrooms,rooms
"منزل 2,500,000 MRU Residential Property 9 hours ago • Riyadh باب اعمر / محمد 4",2500000,Residential Property,9 hours ago,منزل,Riyadh,voursa,https://voursa.com/EN/categories/real_estate/ads/منزل-7525,12.00,,مفوضية الرياض,Yes,Other,1.0,1.0,1.0,1.0
"نيمرو للبيـــع فالصحراوي 6,000,000 MRU Land Plot 13 hours ago • Tevragh Zeina سيدي محمد 2",6000000,Land Plot,13 hours ago,نيمرو للبيـــع فالصحراوي,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-للبيـــع-فالصحراوي--7ca1,400.00,15.00,مديرية التوجيه الإسلامية,Yes,,,,,
"نص نيمرو فالمطار بلوك 59 1,050,000 MRU Land Plot 13 hours ago • Dar Naim سيدي محمد 1",1050000,Land Plot,13 hours ago,نص نيمرو فالمطار بلوك 59,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/نص-نيمرو-فالمطار-بلوك-59--4444,200.00,,إيثار,Yes,,,,,
"نيمرو من بوش 9 أفكرن قريب من كدروه 4,800,000 MRU Land Plot 13 hours ago • Tevragh Zeina سيدي محمد 1",4800000,Land Plot,13 hours ago,نيمرو من بوش 9 أفكرن قريب من كدروه,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-بوش-9-افكرن-قريب-من-كدروه--498a,533.00,,بوش 9,Yes,,,,,
"نص نيمرو فكرن من شرم الشيخ في البوادي نظيف 1,800,000 MRU Land Plot 13 hours ago • Teyarett محمدفال 1",1800000,Land Plot,13 hours ago,نص نيمرو فكرن من شرم الشيخ في البوادي نظيف,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/نص-نيمرو-فكرن-من-شرم-الشيخ-في-البوادي-نظيف-6c2f,150.00,,البوادي,No,,,,,
"يوجد عندن فرصة حقيقية نيمرو مساحتو 300m2 على كدروه عين طلح و البوادي فاز 2 برمة و كتانص 2,900,000 MRU Land Plot 13 hours ago • Teyarett محمد سالم 2",2900000,Land Plot,13 hours ago,يوجد عندن فرصة حقيقية نيمرو مساحتو 300m2 على كدروه عين طلح و البوادي فاز 2 برمة و كتانص,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/يوجد-عندن-فرصة-حقيقية-نيمرو-مساحتو-300m2-على-كدروه-عين-طلح-و-البوادي-فاز-2-برمة-و-كتانص-6935,300.00,25.00,كدروه عين طلح و البوادي فاز 2,Yes,,,,,
"فرصة سوق للبيع ف مديل F سانتر متير موقع ممتاز دخل معتبر 23,000,000 MRU Commercial and Industrial Real Estate 13 hours ago • Tevragh Zeina mohamed 1",23000000,Commercial and Industrial Real Estate,13 hours ago,فرصة سوق للبيع ف مديل F سانتر متير موقع ممتاز دخل معتبر,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/فرصة-سوق-للبيع-ف-مديل-f-سانتر-متير-موقع-ممتاز-دخل-معتبر-570c,600.00,,وقفة سانتر متير,No,,,,,
"نيمرو فعين الطلح 630,000 MRU Residential Property 15 hours ago • Teyarett SmartZone MR 6",630000,Residential Property,15 hours ago,نيمرو فعين الطلح,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فعين-الطلح-6b5d,140.00,,مجمع عين الطلح التجاري,No,Other,1.0,1.0,2.0,6.0
"نيمرو من بوش 9 ف للمربع الذهبي بين نيمروين امع كدروه للبيع 4,200,000 MRU Land Plot 16 hours ago • Tevragh Zeina محمد 1",4200000,Land Plot,16 hours ago,نيمرو من بوش 9 ف للمربع الذهبي بين نيمروين امع كدروه للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-بوش-9-ف-للمربع-الذهبي-بين-نيمروين-امع-كدروه-للبيع--34bd,534.00,15.00,بوش 9,No,,,,,
"نيمرو فكرن من بوش 9 للبيع 4,900,000 MRU Land Plot 16 hours ago • Tevragh Zeina محمد 1",4900000,Land Plot,16 hours ago,نيمرو فكرن من بوش 9 للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-من-بوش-9-للبيع--b53d,534.00,20.00,بوش 9,No,,,,,
"سوق للبيع 23,000,000 MRU Commercial and Industrial Real Estate 16 hours ago • Tevragh Zeina Agence LEWEDLI 1",23000000,Commercial and Industrial Real Estate,16 hours ago,سوق للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/سوق-للبيع-7b67,600.00,,تفرغ زينه,No,,,,,
"ارض 100,000 MRU Land Plot 17 hours ago • Dar Naim Isselmou 1",100000,Land Plot,17 hours ago,ارض,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/ارض-1052,150.00,,مستشفي انكدو  مطار القديم,No,,,,,
"قطعة ارضية 4,500,000 MRU Land Plot 17 hours ago • Teyarett ام كلثوم احمد طالب 1",4500000,Land Plot,17 hours ago,قطعة ارضية,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/قطعة-ارضية-acdb,300.00,25.00,بوادي,Yes,,,,,
"نيمرو فاتح ف ابرك من مدال m اسويت للبيع 3,000,000 MRU Land Plot 17 hours ago • Tevragh Zeina محمد 1",3000000,Land Plot,17 hours ago,نيمرو فاتح ف ابرك من مدال m اسويت للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فاتح-ف-ابرك-من-مدال-m-اسويت-للبيع--ad7e,700.00,15.00,مدال m اسويت,No,,,,,
"قطعتين للبيع 24,000,000 MRU Land Plot 17 hours ago • Dar Naim Agence LEWEDLI 1",24000000,Land Plot,17 hours ago,قطعتين للبيع,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/قطعتين-للبيع-edd3,1.00,,المطار القديم,Yes,,,,,
"شقة 15,000 MRU Commercial and Industrial Real Estate 17 hours ago • Tevragh Zeina عبد 1",15000,Commercial and Industrial Real Estate,17 hours ago,شقة,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/شقة-fc2a,150.00,,أقرب معلم أتاك الخير 2,No,,,,,
"شقتين للبيع 1,800,000 MRU Residential Property 1 day ago • Teyarett Agence LEWEDLI 1",1800000,Residential Property,1 day ago,شقتين للبيع,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/شقتين-للبيع-2892,150.00,,عين الطلح,Yes,Other,0.0,0.0,0.0,0.0
"قطعة أرض 3,100,000 MRU Land Plot 1 day ago • Dar Naim الشيخ 1",3100000,Land Plot,1 day ago,قطعة أرض,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/قطعة-ارض-32d2,400.00,12.00,قرب إدارة معادن,Yes,,,,,
"دار فملح سكتير 1 550,000 MRU Residential Property 1 day ago • Arafat محمد عبد الله ولد سيكه 1",550000,Residential Property,1 day ago,دار فملح سكتير 1,Arafat,voursa,https://voursa.com/EN/categories/real_estate/ads/دار-فملح-سكتير-1-0e87,150.00,6.00,ملح سكتير 1,No,Apartment,1.0,1.0,2.0,3.0
"ديبلكس للبيع 5,800,000 MRU Residential Property 1 day ago • Tevragh Zeina Agence LEWEDLI 1",5800000,Residential Property,1 day ago,ديبلكس للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/ديبلكس-للبيع--0491,200.00,,كارفور جامبور,Yes,Duplex,0.0,0.0,0.0,0.0
"دار اعل كدروه فدار النعيم 700,000 MRU Residential Property 1 day ago • Teyarett الخدمات العامه 1",700000,Residential Property,1 day ago,دار اعل كدروه فدار النعيم,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/دار-اعل-كدروه-فدار-النعيم--191d,180.00,30.00,استاسيوه المستقبل,Yes,Other,1.0,1.0,1.0,4.0
"نيمرو فيه شانتي ف اغنودرت بالقرب من دار غزواني للبيع 1,250,000 MRU Land Plot 1 day ago • Tevragh Zeina محمد 1",1250000,Land Plot,1 day ago,نيمرو فيه شانتي ف اغنودرت بالقرب من دار غزواني للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فيه-شانتي-ف-اغنودرت-بالقرب-من-دار-غزواني-للبيع--831b,300.00,10.00,اغنودرت,No,,,,,
"ديبلكس للبيع 4,000,000 MRU Residential Property 1 day ago • Tevragh Zeina Agence LEWEDLI 1",4000000,Residential Property,1 day ago,ديبلكس للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/ديبلكس-للبيع--fe21,300.00,,اغنودرت,Yes,Duplex,0.0,0.0,0.0,0.0
"نيمروات إعلى كدروه الرابط بين الجامعة وطب القلب 15,000,000 MRU Land Plot 1 day ago • Tevragh Zeina سيدي محمد 1",15000000,Land Plot,1 day ago,نيمروات إعلى كدروه الرابط بين الجامعة وطب القلب,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمروات-اعلى-كدروه-الرابط-بين-الجامعة-وطب-القلب--1e0a,1400.00,,طب القلب,Yes,,,,,
"دار فتنسويلم احذ امسيد اهل احمد يوره 900,000 MRU Residential Property 1 day ago • Dar Naim محمد عبد الله ولد سيكه 1",900000,Residential Property,1 day ago,دار فتنسويلم احذ امسيد اهل احمد يوره,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/دار-فتنسويلم-احذ-امسيد-اهل-احمد-يوره-3aa8,150.00,8.00,امسيد اهل احمد يوره,No,Apartment,1.0,1.0,2.0,5.0
"ابرتمهات فهاش 8 6,500,000 MRU Residential Property 1 day ago • Teyarett الخدمات العامه 1",6500000,Residential Property,1 day ago,ابرتمهات فهاش 8,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/ابرتمهات-فهاش-8-6df5,216.00,15.00,هاش 8,Yes,Apartment,1.0,1.0,1.0,4.0
"سمعة للبيع بالقرب من كوليج سوق مكه 1,600,000 MRU Commercial and Industrial Real Estate 1 day ago • Arafat بورصة محمدأحمد العقارية 1",1600000,Commercial and Industrial Real Estate,1 day ago,سمعة للبيع بالقرب من كوليج سوق مكه,Arafat,voursa,https://voursa.com/EN/categories/real_estate/ads/سمعة-للبيع-بالقرب-من-كوليج-سوق-مكه--5f2c,150.00,,سوق مكه,No,,,,,
"دار اعل كدروه ال بين جسر الحي الساكن و كرفور ول ابادو 650,000 MRU Residential Property 1 day ago • Dar Naim محمد عبد الله ولد سيكه 5",650000,Residential Property,1 day ago,دار اعل كدروه ال بين جسر الحي الساكن و كرفور ول ابادو,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/دار-اعل-كدروه-ال-بين-جسر-الحي-الساكن-و-كرفور-ول-ابادو-105a,150.00,20.00,جسر الحي الساكن,No,Apartment,1.0,1.0,2.0,3.0
"منازل للبيع فلمطار القديم قرب مدينة المرح 7,000,000 MRU Land Plot 1 day ago • Dar Naim سيدي محمد 4",7000000,Land Plot,1 day ago,منازل للبيع فلمطار القديم قرب مدينة المرح,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/منازل-للبيع-فلمطار-القديم-قرب-مدينة-المرح--0005,400.00,,مدينة المرح,Yes,,,,,
"نيمرو فكرن من سكتير 6 للبيع 7,000,000 MRU Land Plot 1 day ago • Tevragh Zeina محمد 1",7000000,Land Plot,1 day ago,نيمرو فكرن من سكتير 6 للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-من-سكتير-6-للبيع--0aa4,700.00,15.00,سكتير 6,No,,,,,
"نيمرو من المطار اعل لبست فكرن للبيع 25,000,000 MRU Land Plot 1 day ago • Tevragh Zeina محمد 1",25000000,Land Plot,1 day ago,نيمرو من المطار اعل لبست فكرن للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-المطار-اعل-لبست-فكرن-للبيع--3e94,1172.00,60.00,لبست,No,,,,,
"دار ف صانتر ميتير للبيع 4,600,000 MRU Residential Property 1 day ago • Tevragh Zeina محمد 1",4600000,Residential Property,1 day ago,دار ف صانتر ميتير للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/دار-ف-صانتر-ميتير-للبيع--a28f,200.00,15.00,صانتر ميتير,Yes,Villa,1.0,1.0,2.0,5.0
"نيمرو فيه ابرتماه من i4 للبيع 3,300,000 MRU Land Plot 1 day ago • Tevragh Zeina محمد 1",3300000,Land Plot,1 day ago,نيمرو فيه ابرتماه من i4 للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فيه-ابرتماه-من-i4-للبيع--8501,216.00,15.00,I4,No,,,,,
"دار احذ كدروه اتيو للبيع 16,500,000 MRU Residential Property 1 day ago • Toujounine محمد 1",16500000,Residential Property,1 day ago,دار احذ كدروه اتيو للبيع,Toujounine,voursa,https://voursa.com/EN/categories/real_estate/ads/دار-احذ-كدروه-اتيو-للبيع--9443,240.00,10.00,كدروه اتيو,Yes,Villa,1.0,1.0,1.0,1.0
"فيلا ممتازة جديدة في الفوز البوادي نظيفة 4,200,000 MRU Residential Property 1 day ago • Teyarett محمدفال 1",4200000,Residential Property,1 day ago,فيلا ممتازة جديدة في الفوز البوادي نظيفة,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/فيلا-ممتازة-جديدة-في-الفوز-البوادي-نظيفة-c8e9,200.00,20.00,البوادي,No,Villa,2.0,1.0,2.0,4.0
"فرصة ارضية للبيع ف صحراوي قرب سكن سفير العمان 5,500,000 MRU Residential Property 1 day ago • Tevragh Zeina mohamed 1",5500000,Residential Property,1 day ago,فرصة ارضية للبيع ف صحراوي قرب سكن سفير العمان,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/فرصة-ارضية-للبيع-ف-صحراوي-قرب-سكن-سفير-العمان-وتساب--9e32,250.00,20.00,سكن سفير العمان,Yes,Villa,1.0,1.0,2.0,4.0
"نيمرو اعلي كدروه واعلى ابرك فمدال j للبيع 12,000,000 MRU Land Plot 1 day ago • Tevragh Zeina محمد 1",12000000,Land Plot,1 day ago,نيمرو اعلي كدروه واعلى ابرك فمدال j للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-اعلي-كدروه-واعلى-ابرك-فمدال-j-للبيع--f0a3,500.00,60.00,كدروه نواذيبو,No,,,,,
"شانتيه اللبيع أفي المطار القديم بلوك 5 3,200,000 MRU Residential Property 1 day ago • Dar Naim عبدالله 3",3200000,Residential Property,1 day ago,شانتيه اللبيع أفي المطار القديم بلوك 5,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/شانتيه-اللبيع-افي-المطار-القديم-بلوك-5-fc4f,200.00,,شانتيه اللبيع أفي المطار القديم بلوك 5,No,Villa,1.0,1.0,2.0,3.0
"ابرتمهات فصانتر متير 4,600,000 MRU Residential Property 1 day ago • Tevragh Zeina الخدمات العامه 1",4600000,Residential Property,1 day ago,ابرتمهات فصانتر متير,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/ابرتمهات-فصانتر-متير-1c5b,200.00,15.00,صانتر متير,Yes,Apartment,1.0,1.0,2.0,8.0
"نيمرو فكرن من مدال m اسويت للبيع 3,800,000 MRU Land Plot 2 days ago • Tevragh Zeina محمد 1",3800000,Land Plot,2 days ago,نيمرو فكرن من مدال m اسويت للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-من-مدال-m-اسويت-للبيع--4798,600.00,20.00,مدال m اسويت,No,,,,,
"نيمرو فكرن من بوش 9 للبيع 4,600,000 MRU Land Plot 2 days ago • Tevragh Zeina محمد 1",4600000,Land Plot,2 days ago,نيمرو فكرن من بوش 9 للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-من-بوش-9-للبيع--2c2d,534.00,20.00,بوش 9,No,,,,,
"عندن ذاك ابرتماه اللبيع أفي منطقة صانتر ميتير 4,600,000 MRU Commercial and Industrial Real Estate 2 days ago • Tevragh Zeina عبدالله 3",4600000,Commercial and Industrial Real Estate,2 days ago,عندن ذاك ابرتماه اللبيع أفي منطقة صانتر ميتير,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/عندن-ذاك-ابرتماه-اللبيع-افي-منطقة-صانتر-ميتير-cfe7,200.00,,ذاك ابرتماه اللبيع أفي منطقة صانتر ميتين,No,,,,,
"نيمرو فالمطار فزر مصحة إيثار 2,200,000 MRU Land Plot 2 days ago • Dar Naim سيدي محمد 1",2200000,Land Plot,2 days ago,نيمرو فالمطار فزر مصحة إيثار,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فالمطار-فزر-مصحة-ايثار--3b95,400.00,12.00,إيثار,Yes,,,,,
"نيمرو من الأساتذة فزر الشوانتي 3,750,000 MRU Land Plot 2 days ago • Tevragh Zeina سيدي محمد 2",3750000,Land Plot,2 days ago,نيمرو من الأساتذة فزر الشوانتي,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-الاساتذة-فزر-الشوانتي--e611,600.00,25.00,المعهد,Yes,,,,,
"شانتيه فالمطار بلوك 5 قرب مدينة المرح 3,200,000 MRU Land Plot 2 days ago • Dar Naim سيدي محمد 2",3200000,Land Plot,2 days ago,شانتيه فالمطار بلوك 5 قرب مدينة المرح,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/-شانتيه-فالمطار-بلوك-5-قرب-مدينة-المرح--9f12,200.00,,مدينة المرح,Yes,,,,,
"ديبلكس بريمير شوى قرب شهرزاد 5,800,000 MRU Land Plot 2 days ago • Teyarett سيدي محمد 1",5800000,Land Plot,2 days ago,ديبلكس بريمير شوى قرب شهرزاد,Teyarett,voursa,https://voursa.com/EN/categories/real_estate/ads/ديبلكس-بريمير-شوى-قرب-شهرزاد--1fab,216.00,,شهرا زاد,Yes,,,,,
"نيمرو فكرن ابرك فمدال m لاول للبيع 5,000,000 MRU Land Plot 2 days ago • Tevragh Zeina محمد 1",5000000,Land Plot,2 days ago,نيمرو فكرن ابرك فمدال m لاول للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فكرن-ابرك-فمدال-m-لاول-للبيع--eaf1,800.00,15.00,مدال m لاول,No,,,,,
"منزل فخم للبيـع قرب مشروع كمال 27,000,000 MRU Land Plot 2 days ago • Tevragh Zeina سيدي محمد 10",27000000,Land Plot,2 days ago,منزل فخم للبيـع قرب مشروع كمال,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/منزل-فخم-للبيـع-قرب-مشروع-كمال--42f4,750.00,,مشروع كمال,Yes,,,,,
"نيمرو من سكتير 5 للبيع 6,700,000 MRU Land Plot 2 days ago • Tevragh Zeina محمد 1",6700000,Land Plot,2 days ago,نيمرو من سكتير 5 للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-من-سكتير-5-للبيع--764a,875.00,15.00,سكتير 5,No,,,,,
"200م² في تفرغ زينة h suit ماه بعيد من كدروه نواذيب 2,000,000 MRU Land Plot 2 days ago • Tevragh Zeina محمدفال 1",2000000,Land Plot,2 days ago,200م² في تفرغ زينة h suit ماه بعيد من كدروه نواذيب,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/200م-في-تفرغ-زينة-h-suit-ماه-بعيد-من-كدروه-نواذيب-1ccf,200.00,,طريق نواذيب,No,,,,,
"نيمرو أفكرن من بلوكات فاتح اعل الجامعة 8,000,000 MRU Land Plot 2 days ago • Tevragh Zeina سيدي محمد 1",8000000,Land Plot,2 days ago,نيمرو أفكرن من بلوكات فاتح اعل الجامعة,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-افكرن-من-بلوكات-فاتح-اعل-الجامعة--76f2,600.00,,جامعة انواكشوط العصرية,Yes,,,,,
"نيمرو فاتح ف ابرك من مدال m اسويت للبيع 3,700,000 MRU Land Plot 2 days ago • Tevragh Zeina محمد 1",3700000,Land Plot,2 days ago,نيمرو فاتح ف ابرك من مدال m اسويت للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-فاتح-ف-ابرك-من-مدال-m-اسويت-للبيع--6169,600.00,15.00,مدال m اسويت,No,,,,,
"قطعة أرضية للبيع 2,550,000 MRU Office 2 days ago • Tevragh Zeina Saleck Med 1",2550000,Office,2 days ago,قطعة أرضية للبيع,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/قطعة-ارضية-للبيع--8b02,300.00,,Tevrag zeina,No,,,,,
"نمرو اللبيع أفي المطار القديم بلوك 60 1,000,000 MRU Land Plot 2 days ago • Dar Naim عبدالله 3",1000000,Land Plot,2 days ago,نمرو اللبيع أفي المطار القديم بلوك 60,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/نمرو-اللبيع-افي-المطار-القديم-بلوك-60-dfcb,216.00,,نمرو اللبيع أفي المطار القديم بلوك 60,No,,,,,
"نص نيمرو فسكتير6 اف نور تفرغ زينة 2,300,000 MRU Land Plot 2 days ago • Tevragh Zeina محمدفال 1",2300000,Land Plot,2 days ago,نص نيمرو فسكتير6 اف نور تفرغ زينة,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/نص-نيمرو-فسكتير6-اف-نور-تفرغ-زينة-5e69,300.00,,كدروه الاربعين,No,,,,,
"نيمرو ف عرفات اكريب من كرفور الداية 11 الدخلاني 280,000 MRU Land Plot 2 days ago • Arafat Tewvigh services التوفيق للخدمات 1",280000,Land Plot,2 days ago,نيمرو ف عرفات اكريب من كرفور الداية 11 الدخلاني,Arafat,voursa,https://voursa.com/EN/categories/real_estate/ads/نيمرو-ف-عرفات-اكريب-من-كرفور-الداية-11-الدخلاني-8d12,120.00,8.00,كرفور الداية 11 الدخلاني مدرسة حمزة,Yes,,,,,
"فيلا فتفرغ زين 8,500,000 MRU Residential Property 2 days ago • Tevragh Zeina الخدمات العامه 1",8500000,Residential Property,2 days ago,فيلا فتفرغ زين,Tevragh Zeina,voursa,https://voursa.com/EN/categories/real_estate/ads/فيلا-فتفرغ-زين-56ba,416.00,15.00,دار عزيز,Yes,Villa,1.0,1.0,1.0,7.0
"عندنا ذ النيمرو ف المطار عل بارك للبيع 650,000 MRU Land Plot 2 days ago • Dar Naim وكالة زمزم العقارية 1",650000,Land Plot,2 days ago,عندنا ذ النيمرو ف المطار عل بارك للبيع,Dar Naim,voursa,https://voursa.com/EN/categories/real_estate/ads/عندنا-ذ-النيمرو-ف-المطار-عل-بارك-للبيع--3876,180.00,12.00,المطار القديم,Yes,,,,,
